Temperature,Number of Molecules of methane( Average loading absolute),Molecules/unit cell,Total energy,Adsorbate-Adsorbate energy,Host- Adsorbate
300,9.88456,1.23557,-26780.80635,-189.05368,-26591.75267
310,7.3558,0.919475,-19766.71559,-103.31977,-19663.39582
320,5.4458,0.680725,-14511.90219,-58.74386,-14453.15833
330,4.1638,0.520475,-10991.55264,-36.01912,-10955.53352
340,3.22404,0.403005,-8426.57509,-18.68531,-8407.88978
350,2.51876,0.314845,-6531.55869,-11.05834,-6520.50036
360,1.97812,0.247265,-5069.02126,-7.58776,-5061.43349
370,1.59576,0.19947,-4061.83338,-4.48927,-4057.34411
380,1.30948,0.163685,-3314.32022,-2.8025,-3311.51772
390,1.06996,0.133745,-2681.42799,-2.18499,-2679.243
